Price,Time,Timestamp
0.0,2013-01-03-01-00-00,1357171200
0.0,2013-01-04-01-00-00,1357257600
0.0,2013-01-05-01-00-00,1357344000
0.0,2013-01-06-01-00-00,1357430400
0.0,2013-01-07-01-00-00,1357516800
0.0,2013-01-08-01-00-00,1357603200
0.0,2013-01-09-01-00-00,1357689600
0.0,2013-01-10-01-00-00,1357776000
0.0,2013-01-11-01-00-00,1357862400
0.0,2013-01-12-01-00-00,1357948800
0.0,2013-01-13-01-00-00,1358035200
0.0,2013-01-14-01-00-00,1358121600
0.0,2013-01-15-01-00-00,1358208000
0.0,2013-01-16-01-00-00,1358294400
0.0,2013-01-17-01-00-00,1358380800
0.0,2013-01-18-01-00-00,1358467200
0.0,2013-01-19-01-00-00,1358553600
0.0,2013-01-20-01-00-00,1358640000
0.0,2013-01-21-01-00-00,1358726400
0.0,2013-01-22-01-00-00,1358812800
0.0,2013-01-23-01-00-00,1358899200
0.0,2013-01-24-01-00-00,1358985600
0.0,2013-01-25-01-00-00,1359072000
0.0,2013-01-26-01-00-00,1359158400
0.0,2013-01-27-01-00-00,1359244800
0.0,2013-01-28-01-00-00,1359331200
0.0,2013-01-29-01-00-00,1359417600
0.0,2013-01-30-01-00-00,1359504000
0.0,2013-01-31-01-00-00,1359590400
0.0,2013-02-01-01-00-00,1359676800
0.0,2013-02-02-01-00-00,1359763200
0.0,2013-02-03-01-00-00,1359849600
0.0,2013-02-04-01-00-00,1359936000
0.0,2013-02-05-01-00-00,1360022400
0.0,2013-02-06-01-00-00,1360108800
0.0,2013-02-07-01-00-00,1360195200
0.0,2013-02-08-01-00-00,1360281600
0.0,2013-02-09-01-00-00,1360368000
0.0,2013-02-10-01-00-00,1360454400
0.0,2013-02-11-01-00-00,1360540800
0.0,2013-02-12-01-00-00,1360627200
0.0,2013-02-13-01-00-00,1360713600
0.0,2013-02-14-01-00-00,1360800000
0.0,2013-02-15-01-00-00,1360886400
0.0,2013-02-16-01-00-00,1360972800
0.0,2013-02-17-01-00-00,1361059200
0.0,2013-02-18-01-00-00,1361145600
0.0,2013-02-19-01-00-00,1361232000
0.0,2013-02-20-01-00-00,1361318400
0.0,2013-02-21-01-00-00,1361404800
0.0,2013-02-22-01-00-00,1361491200
0.0,2013-02-23-01-00-00,1361577600
0.0,2013-02-24-01-00-00,1361664000
0.0,2013-02-25-01-00-00,1361750400
0.0,2013-02-26-01-00-00,1361836800
0.0,2013-02-27-01-00-00,1361923200
0.0,2013-02-28-01-00-00,1362009600
0.0,2013-03-01-01-00-00,1362096000
0.0,2013-03-02-01-00-00,1362182400
0.0,2013-03-03-01-00-00,1362268800
0.0,2013-03-04-01-00-00,1362355200
0.0,2013-03-05-01-00-00,1362441600
0.0,2013-03-06-01-00-00,1362528000
0.0,2013-03-07-01-00-00,1362614400
0.0,2013-03-08-01-00-00,1362700800
0.0,2013-03-09-01-00-00,1362787200
0.0,2013-03-10-01-00-00,1362873600
0.0,2013-03-11-01-00-00,1362960000
0.0,2013-03-12-01-00-00,1363046400
0.0,2013-03-13-01-00-00,1363132800
0.0,2013-03-14-01-00-00,1363219200
0.0,2013-03-15-01-00-00,1363305600
0.0,2013-03-16-01-00-00,1363392000
0.0,2013-03-17-01-00-00,1363478400
0.0,2013-03-18-01-00-00,1363564800
0.0,2013-03-19-01-00-00,1363651200
0.0,2013-03-20-01-00-00,1363737600
0.0,2013-03-21-01-00-00,1363824000
0.0,2013-03-22-01-00-00,1363910400
0.0,2013-03-23-01-00-00,1363996800
0.0,2013-03-24-01-00-00,1364083200
