BCH,Time,Timestamp,BTC,DASH,ETH,LTC,XRP
0.0,2012-10-25-02-00-00,1351123200,8.35,0.0,0.0,0.0,0.0
0.0,2012-10-26-02-00-00,1351209600,7.8,0.0,0.0,0.0,0.0
0.0,2012-10-27-02-00-00,1351296000,8.09,0.0,0.0,0.0,0.0
0.0,2012-10-28-02-00-00,1351382400,8.27,0.0,0.0,0.0,0.0
0.0,2012-10-29-01-00-00,1351468800,8.3,0.0,0.0,0.0,0.0
0.0,2012-10-30-01-00-00,1351555200,8.26,0.0,0.0,0.0,0.0
0.0,2012-10-31-01-00-00,1351641600,8.62,0.0,0.0,0.0,0.0
0.0,2012-11-01-01-00-00,1351728000,8.25,0.0,0.0,0.0,0.0
0.0,2012-11-02-01-00-00,1351814400,8.2,0.0,0.0,0.0,0.0
0.0,2012-11-03-01-00-00,1351900800,8.25,0.0,0.0,0.0,0.0
0.0,2012-11-04-01-00-00,1351987200,8.34,0.0,0.0,0.0,0.0
0.0,2012-11-05-01-00-00,1352073600,8.28,0.0,0.0,0.0,0.0
0.0,2012-11-06-01-00-00,1352160000,8.5,0.0,0.0,0.0,0.0
0.0,2012-11-07-01-00-00,1352246400,8.59,0.0,0.0,0.0,0.0
0.0,2012-11-08-01-00-00,1352332800,8.6,0.0,0.0,0.0,0.0
0.0,2012-11-09-01-00-00,1352419200,8.54,0.0,0.0,0.0,0.0
0.0,2012-11-10-01-00-00,1352505600,8.6,0.0,0.0,0.0,0.0
0.0,2012-11-11-01-00-00,1352592000,8.49,0.0,0.0,0.0,0.0
0.0,2012-11-12-01-00-00,1352678400,8.7,0.0,0.0,0.0,0.0
0.0,2012-11-13-01-00-00,1352764800,8.74,0.0,0.0,0.0,0.0
0.0,2012-11-14-01-00-00,1352851200,8.74,0.0,0.0,0.0,0.0
0.0,2012-11-15-01-00-00,1352937600,8.66,0.0,0.0,0.0,0.0
0.0,2012-11-16-01-00-00,1353024000,9.1,0.0,0.0,0.0,0.0
0.0,2012-11-17-01-00-00,1353110400,9.21,0.0,0.0,0.0,0.0
0.0,2012-11-18-01-00-00,1353196800,9.09,0.0,0.0,0.0,0.0
0.0,2012-11-19-01-00-00,1353283200,9.08,0.0,0.0,0.0,0.0
0.0,2012-11-20-01-00-00,1353369600,9.1,0.0,0.0,0.0,0.0
0.0,2012-11-21-01-00-00,1353456000,9.1,0.0,0.0,0.0,0.0
0.0,2012-11-22-01-00-00,1353542400,9.4,0.0,0.0,0.0,0.0
0.0,2012-11-23-01-00-00,1353628800,9.49,0.0,0.0,0.0,0.0
0.0,2012-11-24-01-00-00,1353715200,9.5,0.0,0.0,0.0,0.0
0.0,2012-11-25-01-00-00,1353801600,9.5,0.0,0.0,0.0,0.0
0.0,2012-11-26-01-00-00,1353888000,9.45,0.0,0.0,0.0,0.0
0.0,2012-11-27-01-00-00,1353974400,9.33,0.0,0.0,0.0,0.0
0.0,2012-11-28-01-00-00,1354060800,9.5,0.0,0.0,0.0,0.0
0.0,2012-11-29-01-00-00,1354147200,9.73,0.0,0.0,0.0,0.0
0.0,2012-11-30-01-00-00,1354233600,9.66,0.0,0.0,0.0,0.0
0.0,2012-12-01-01-00-00,1354320000,9.69,0.0,0.0,0.0,0.0
0.0,2012-12-02-01-00-00,1354406400,9.53,0.0,0.0,0.0,0.0
0.0,2012-12-03-01-00-00,1354492800,9.62,0.0,0.0,0.0,0.0
0.0,2012-12-04-01-00-00,1354579200,10.03,0.0,0.0,0.0,0.0
0.0,2012-12-05-01-00-00,1354665600,10.21,0.0,0.0,0.0,0.0
0.0,2012-12-06-01-00-00,1354752000,10.32,0.0,0.0,0.0,0.0
0.0,2012-12-07-01-00-00,1354838400,10.4,0.0,0.0,0.0,0.0
0.0,2012-12-08-01-00-00,1354924800,10.29,0.0,0.0,0.0,0.0
0.0,2012-12-09-01-00-00,1355011200,10.32,0.0,0.0,0.0,0.0
0.0,2012-12-10-01-00-00,1355097600,10.38,0.0,0.0,0.0,0.0
